2262	2268	68	69	502	18
2511	2708	73	71	565	15
2208	2607	66	85	416	19
2182	2686	57	69	445	8
3876	2815	124	80	1072	18
3355	2957	106	80	868	8
4315	2599	132	121	1247	18
77172	44265	378	113434	2120	381
79848	42237	318	123549	1515	305
77681	39220	296	121467	1391	287
68267	34617	292	105181	1450	289
58220	31476	285	88109	1096	328
38949	33169	324	48823	1246	324
35235	28754	263	45631	928	221
22475	39913	380	8736	2621	80
27773	49934	461	10524	3228	147
26006	47493	375	10802	2654	95
27357	45182	366	15795	2389	110
29099	43588	352	19840	2205	160
23188	42691	391	8739	2029	167
25463	50747	469	7338	2332	170
5641	8363	173	145	969	30
6993	11383	233	185	1051	84
7079	12068	196	139	1088	59
7227	12469	192	141	1224	25
6625	13792	177	104	856	37
5019	10984	107	116	557	30
3882	7517	109	89	296	62
1	0	0	0	0	0
7	4	1	0	0	0
0	3	0	0	0	0
101247	160140	803	60413	6394	923
116354	185092	930	70612	7264	1183
225932	316886	2564	180198	13473	2361
150177	236241	1453	85110	9320	1459
122593	179828	1019	81514	7077	1239
85828	149122	704	41249	5428	854
87968	146945	829	41656	6260	965
11893697	114963509	1687089	31212958	1477849	80316
12093396	119411427	1706919	30600580	1524591	82322
12690306	126606782	1792889	32471661	1600817	87041
12637233	120140003	1858073	30687367	1425121	78259
12475504	120817397	1789289	29135411	1516425	78382
13341972	123278590	1925707	18715520	1611457	76862
13102775	126885828	1880460	18352522	1602802	78096
8801	3035	186	9855	145	169
8052	2942	176	9635	90	156
9663	3204	210	11637	87	179
7956	2913	174	9656	57	161
8748	2717	203	10076	159	172
7913	2987	178	9343	63	168
6408	2870	122	7302	57	132
81900	149400	1046	56528	6854	78
94076	171265	1248	63231	8407	81
89777	157909	1100	61022	8504	75
92600	157681	1171	64889	8890	73
86092	148769	1089	53370	9699	76
65534	133505	958	27908	7813	67
77809	162538	1182	32641	9066	64
2	0	0	0	0	0
18	65	0	0	0	1
1	0	0	1	0	0
1	0	0	2	0	0
0	0	0	1	0	0
2320	1651	33	2109	86	24
2833	2029	38	2166	147	52
3056	2528	44	2641	139	35
2631	1860	30	2656	51	43
3334	1902	34	3938	85	31
2343	1935	37	2093	71	21
2776	2667	49	1989	135	41
69	0	0	129	2	0
78	0	0	144	0	1
93	0	0	176	1	1
121	0	3	187	4	0
78	0	1	135	0	1
53	11	0	55	2	2
45	0	1	71	1	0
70612	3707	2744	45266	12285	1966
77404	4672	3011	49587	13528	2016
54353	4133	1883	47503	6377	1512
33537	3611	884	38246	2488	716
32351	5269	866	35408	2529	717
28557	2444	791	30478	2298	767
28380	2628	831	28900	3008	540
12217	14824	82	10263	580	53
11893	13771	71	10265	555	81
11204	12954	59	10005	388	43
11161	12961	77	9032	675	37
11621	13524	77	9016	755	68
11318	18698	74	5882	833	39
11449	18247	79	6007	865	61
9888	12507	186	5051	1226	98
9380	10389	199	4780	1344	54
11323	11213	232	6463	1601	91
9453	9911	174	4126	1658	63
9515	9571	187	3999	1736	53
15423	12499	306	3419	4157	47
13089	12568	295	3551	2893	77
17	36	0	0	0	2
15	28	0	0	0	1
6311	9006	146	29	1342	86
909	1985	19	12	106	4
5447	2713	381	280	912	67
4761	2186	315	257	827	66
7775	2868	415	2849	1285	105
31754	4417	530	46704	1370	338
4986	2966	351	650	650	79
11372	6103	482	787	2038	547
7075	5463	354	604	1155	149
3670	4194	175	92	768	32
5769	7907	228	215	1238	35
2204	4452	82	100	239	23
4870	7256	164	124	1041	27
2468	4138	126	48	339	21
9175	10461	292	260	2502	31
3731	7055	140	81	545	40
3735	7764	59	85	537	74
6130	12804	83	115	1071	88
10062	20960	113	216	1783	164
14273	27200	199	340	3169	73
9738	20603	137	230	1808	60
18270	28879	282	353	4817	77
14542	25675	213	200	3528	45
18020	32553	266	4276	2716	58
24583	40140	283	3906	5235	59
22727	36570	314	4663	4377	44
19237	36882	308	4076	2812	52
15074	28786	237	3373	1986	49
25200	41493	341	2097	5723	47
24451	41438	359	2052	5357	40
44927	69677	315	5190	10691	91
55531	81918	412	7850	14089	69
52556	74331	356	7033	13584	71
46702	74059	336	6415	10967	109
42382	76611	317	5433	8788	83
55403	83458	364	3332	15178	54
48521	69355	325	3393	13177	65
900	694	59	412	14	32
888	632	72	292	6	38
1086	768	92	341	24	40
1148	785	97	385	10	46
889	698	76	237	10	39
20879	22582	1935	803	463	1270
22611	37487	1839	1908	551	458
151100	8036	363	810	68150	212
7404	7709	317	857	1278	209
60906	4934	1592	732	25197	197
24488	2825	194	535	10815	185
79716	2796	211	514	38288	253
205060	3906	305	735	100524	246
306209	4921	309	553	150973	260
115341	188867	1152	85934	9527	223
129725	217620	1515	92867	11131	242
134694	233517	1479	95206	10727	342
126733	203820	1397	101464	8506	345
135369	226487	1653	100731	9562	444
98136	195541	1267	51884	8118	364
130318	300849	2255	63721	11648	546
124050	334816	2309	38675	16092	307
127595	309903	2263	41964	17208	286
123914	274646	1974	41388	16205	294
124554	269301	2220	49369	13680	419
123625	306114	2339	44694	13524	429
105652	291796	1957	20397	12576	301
133460	469360	3433	27519	18001	626
243169	784597	8040	64481	41511	438
213473	575516	6493	63625	32578	456
212496	654852	5912	62822	33683	479
249532	905467	9887	61893	42831	639
357939	1292768	17957	70713	65547	2015
230023	714081	9515	36374	37794	775
199840	685589	7604	31095	30636	421
337408	1021636	10790	983740	37730	2413
340602	999725	10938	1013330	38887	2434
298774	896605	7833	828682	28572	1791
298443	871141	8471	771833	28642	1827
293019	792650	8566	644152	28104	1646
226668	699030	6386	322053	21061	1471
257124	798313	8124	449941	26333	1843
321934	1204180	5507	231239	53183	415
336669	1262552	5834	245958	59993	397
319320	1244834	5070	261042	52673	406
311229	1174237	5422	249170	48450	444
303975	1080874	4625	222150	47356	434
266811	1142325	5142	134776	48036	575
282286	1204751	5809	138894	52808	642
298708	1019019	10668	155428	50597	478
323130	1161858	11976	157532	58206	610
267421	942657	8399	144674	43121	482
291138	1012970	10410	144591	50119	494
274237	963649	9771	126460	48368	487
245975	990876	9629	72967	48400	505
300310	1204889	12913	82421	63461	688
355655	1651046	8202	405208	61463	1382
407496	1942701	10650	455908	79354	1515
369361	1819924	8448	516597	66795	1507
357851	1466592	7853	420867	65897	1290
342965	1446909	7981	339370	58969	1311
342928	1603102	9751	146930	72655	1366
403760	1976309	11971	171296	93017	1652
430789	1499329	12459	136508	116253	793
509682	1888306	15778	187704	139541	843
549208	2063074	16246	185819	154369	991
564793	2027598	17022	171280	163655	919
607923	2348656	23808	196461	158340	1405
554067	2213649	19703	105769	164108	1340
616111	2374178	22416	106540	187766	1300
843334	4678743	35409	745088	205023	5414
1009256	5594953	46166	834148	256069	6707
904946	5557043	40894	875028	217997	6522
859074	4966165	38426	864005	201371	6037
901962	5829351	38488	814916	222968	5931
896968	5736172	42262	574832	226834	6093
1102500	7031411	53528	784610	298803	6567
1883787	11747547	97106	6241874	563465	7278
2167976	13344716	115028	6799808	659650	8172
2046302	13398362	105436	6739786	621821	8690
1939959	12352178	103847	6828026	573911	7835
1866057	11348523	95688	5177682	559593	6342
2017080	11571613	104028	3368381	613130	6993
2161854	12066110	113855	3785668	660719	7112
207840	891613	1917	164400	19815	1500
207352	942771	2109	164677	21655	1127
215854	946562	2139	207961	21397	971
207092	861179	1988	209829	18892	996
208989	845397	2088	149470	20586	1005
173290	901991	2313	57512	23806	1100
183145	1006136	2484	70332	23589	1221
145043	8779	3995	438384	8012	732
141978	10053	3367	497057	7942	762
153494	11789	4496	543384	10180	828
145873	9676	3608	637569	9232	715
147403	9873	3901	507194	9119	725
144781	10517	4222	271141	7904	741
144424	11731	3872	315067	7793	697
391665	1680132	5948	490408	78223	906
319001	1669375	5398	498361	41267	2786
343339	1831460	5755	508810	47486	3365
337834	1763387	5260	496373	50162	2094
331586	1756514	5217	681508	45925	2105
299123	1763250	5356	198876	43415	2146
0	1872136	5017	149038	39918	1989
184628	64155	5529	1767334	7332	1570
170141	72290	3902	1716276	4982	1301
186607	68018	5477	1906265	9009	1308
181262	60015	4880	1845541	9245	1319
187362	62649	5474	1666536	10809	1310
184609	67754	6049	561082	10040	1342
183503	74991	5798	689138	9713	1216
614376	5046541	13118	1403580	154252	2199
618297	5094272	12640	1526127	158826	2027
682626	5611642	13744	1574240	185596	2387
618347	5159688	12826	1467828	157615	2179
683742	5064642	12773	1497646	190266	2226
648224	5415641	12629	428885	171613	2398
632725	5624887	12094	417732	166976	2186
480911	2853946	9287	679903	85484	4603
451668	2694030	8042	693929	75251	3695
434717	2485931	6918	565987	71004	2748
390884	2077956	5625	450966	56685	1965
356219	1725448	4541	338088	45247	1544
289926	1483829	3739	154088	38918	1102
276190	1412069	3412	142176	34423	999
259254	259478	8722	712074	8485	1427
248682	257794	7604	743724	6918	1380
278133	258825	10067	948264	11098	1501
258379	236491	8551	716058	10466	1471
256719	232353	9453	561621	9957	1324
243906	241547	10353	246362	10987	1414
247529	258157	9528	247206	10929	1379
460581	705209	30957	1364649	19314	8679
444304	673117	29949	1363889	14991	8451
459420	680352	30773	1466922	17368	9321
458960	671037	33247	1533120	13204	8760
434561	698661	29479	1291044	12717	7594
424781	674450	28888	628231	13194	7606
437760	751988	29232	640046	16167	8600
2705707	46908718	101576	12525628	949431	17565
2501769	46097768	94310	12917415	863572	18523
2712384	47697413	101160	13754081	954515	16633
2400976	43311479	91816	13211161	829244	11545
2353753	42546609	89664	11484472	818577	6943
2477905	42988362	92806	4348125	853288	20334
2516396	47195925	92859	4972881	878547	15828
264139	517494	4605	242780	20246	2655
279854	639517	4947	276578	23736	2726
276268	632080	5072	230565	25242	2042
258092	527905	4211	226192	18098	1742
210582	405688	2861	158456	12195	1274
173735	400940	2701	91788	13116	1122
169495	388244	2509	94117	10761	1099
34053	16951	259	43542	876	354
32598	16566	210	42397	692	320
31850	14404	212	42357	649	288
30034	15184	224	38707	645	275
27735	15751	201	34944	584	268
20202	14895	200	21091	517	258
21127	14761	193	21572	505	277
15665	27431	276	6009	690	121
15511	26278	299	5071	844	125
16676	27616	313	5751	1024	138
15484	24777	331	5509	863	127
16274	27559	300	5142	1105	108
14550	27248	293	3932	637	119
13101	23052	240	3692	563	98
14256	4749	640	11965	616	362
12365	4475	506	11467	350	295
13513	4799	531	12560	444	315
12883	4459	541	11269	470	335
12176	4801	497	10749	374	295
11347	5837	433	9450	355	294
11104	6593	457	7809	392	348
91468	76463	814	91069	6962	722
99478	79241	907	92831	10374	549
160760	92078	978	271376	12421	630
106965	71747	792	120082	8860	631
83950	65814	716	88341	6305	614
80816	67032	799	75399	7704	621
77881	67622	765	68295	8028	621
104770	138319	1373	75620	8115	821
111509	145329	1370	87906	7574	797
111318	150667	1332	84535	7381	791
96859	121205	996	82962	5133	709
89427	124178	911	67856	5000	689
92984	142370	1425	51213	6721	952
94283	148494	1426	49600	6638	1013
309767	1440612	3970	815113	33056	2608
328869	1619744	4310	638924	41561	2658
310324	1601100	3872	571287	32181	2666
306973	1535414	4135	636501	32207	2323
303741	1487394	3937	494920	32287	2193
265297	1523380	4205	259168	33782	2279
273512	1580628	4441	274088	35362	2160
23023	10987	77	34515	444	113
20059	12159	97	28353	425	121
17854	8116	59	26995	284	80
18418	9126	93	26709	437	92
16114	8899	66	23294	342	85
8514	6175	45	10563	213	76
8349	6864	42	10460	161	74
221438	429754	1979	215991	11509	1508
232525	500320	2168	241543	14306	1520
261652	750984	3412	258619	21129	1534
283227	1014136	3755	266171	27546	1537
270579	795811	3855	254558	22512	1580
192263	592069	2543	124050	15528	1154
180234	495192	2180	118802	11609	922
89851	119646	601	93135	2249	722
70703	107674	551	63551	2010	578
72593	118626	533	60333	2632	526
64870	96965	422	59989	1706	453
57370	90350	348	49585	1481	439
43351	86296	304	25363	1262	452
42189	84476	319	23724	1270	424
1497441	4892324	57584	3115536	441401	25331
1671900	6721006	58217	2619236	528744	24248
2303533	11718266	79190	3042696	776068	30752
2406859	13274994	107975	3323284	762051	27489
1581870	8180752	64309	2805385	469513	21695
3984076	20185103	193408	2915034	1282370	52152
1799940	9166335	74842	2347564	502854	44395
206445	233775	3553	356246	6035	1583
205351	241997	3135	351538	6077	1338
219245	321557	3618	298131	8592	1614
229030	316998	3814	409067	7677	4116
242255	533472	4792	248845	12710	2099
271552	1271657	8383	183165	27224	2957
334494	1719560	11104	197776	42289	3585
166455	419247	3308	103670	5546	1442
164254	429126	3454	100052	5346	1314
185768	494688	3923	121253	6791	1553
174427	460073	3369	113351	6307	1380
177033	484535	3606	107985	7392	1523
154359	478242	3642	70188	6388	1488
153725	500793	3127	69494	7157	1494
236975	43168	7872	434714	23356	5396
224850	33062	6403	330906	20792	5954
175974	25937	3613	343933	10674	3459
187205	31984	3653	488567	9046	5434
200494	30680	5359	392513	14171	4594
175933	34884	6314	402975	17602	5806
128060	28450	3420	261945	7041	3910
332416	1857838	4132	265815	35985	2037
315300	1765753	3509	248802	31296	1396
352520	2118142	4393	305566	43124	2048
360669	2260257	4632	321673	46192	2265
386748	2655884	5620	314236	55110	2271
348409	2697373	5605	164823	57408	2369
338421	2679500	5703	159903	52168	2857
232462	409809	4606	110043	13043	1832
225803	367986	4478	120724	10189	1551
265262	468307	5206	158618	15383	2064
254427	504248	4410	142199	14029	2369
269408	564000	4883	167599	15505	2591
208064	466486	4663	57610	13317	1770
203802	462865	4653	58046	13018	1829
57502	34183	476	68700	1936	593
54790	35969	430	66314	1540	501
72253	45860	605	87072	2098	643
79104	50751	643	93789	2747	702
80276	54561	664	93917	2614	694
58640	58590	699	53039	2716	726
58687	64626	756	52304	2187	706
62410	63138	317	70556	2029	649
51663	47337	214	59822	1513	590
61621	65524	295	66932	2286	636
54203	52918	270	59830	2210	538
56262	55609	359	60146	2543	589
44482	55318	348	35613	2739	689
45490	56512	343	36387	2926	672
189147	129562	7632	127773	18731	3004
169811	111850	6580	106555	15783	3538
195703	134898	7665	114845	19372	3528
199290	150367	8364	149730	18845	3161
219098	148529	11190	186727	21316	3932
209001	143136	9630	129689	22155	4270
234694	161529	11536	193111	25505	4895
29601	23034	352	33376	786	335
29344	23612	320	33869	742	301
31326	23489	339	37480	573	369
25238	21766	268	28513	505	321
19519	16445	245	21294	357	246
15398	15933	270	13151	392	308
15928	21175	284	11888	433	273
41324	72270	169	29546	3240	129
40451	71869	167	29950	2727	148
48008	89038	187	30718	4235	192
40075	76058	136	27043	2835	147
38671	77652	153	22725	2936	190
34314	86955	171	6695	3765	178
34928	88915	166	8577	3356	155
42584	68543	877	27225	2484	306
42136	65764	851	30880	2123	305
75605	94701	1061	75539	3801	343
43153	74546	1066	23671	2916	265
41483	75580	1048	19357	3218	280
36862	78088	1046	8816	3244	295
49390	109872	1200	10331	5105	367
39849	31355	1947	8859	7810	309
50454	37334	2850	9539	9922	310
43828	43529	2398	8818	7103	356
41207	36499	2553	8573	6293	294
63700	39107	2859	8260	16485	344
49175	47870	2845	2321	9409	461
41106	37057	2243	2458	8345	538
25329	45701	377	15296	1617	172
39458	67213	832	19521	4390	124
37318	60643	658	23652	3310	109
29275	50418	496	19948	1839	79
25093	45581	461	14305	1753	127
17143	39133	375	3796	1466	70
14768	31142	342	3978	1200	61
664	518	44	306	5	17
691	410	47	429	0	18
778	477	58	369	1	27
883	786	66	352	2	27
640	750	30	299	2	25
796	759	60	170	0	44
591	548	40	255	0	16
125051	917406	2185	44472	12827	255
124766	929831	2209	42676	13135	249
164284	1272982	3166	53162	26837	337
163773	1039833	3066	71096	23055	302
142640	1005339	2595	54220	17931	267
120599	976267	2547	19559	15707	268
118311	1011651	2340	18242	14953	240
25938	34092	227	20144	2079	154
26306	34843	241	20484	2051	158
30910	50072	218	21304	2448	215
22304	30051	157	17388	1756	151
21416	25150	134	19565	1502	126
10565	20004	108	3860	830	108
10719	19662	115	3533	1025	112
146080	1039251	2563	58541	16239	199
141499	993593	2444	58889	14393	171
160385	1229437	2655	71157	18853	210
153267	1145571	2860	65592	16780	191
144038	1103784	2770	53724	15498	199
123574	1129432	2796	11806	15615	237
121739	1115590	2646	13126	14426	190
69966	26673	466	98941	5049	203
72240	29039	443	101588	5410	195
72836	31387	482	97055	6381	226
63484	25909	375	90017	4491	173
55545	22925	380	76887	4054	208
35432	26967	449	31327	4796	232
47070	34992	636	32182	9180	186
339728	2425840	6935	354095	62748	637
328562	2408829	6647	405399	56417	718
372714	2838897	6924	460085	71985	787
332609	2585952	6693	385765	57759	719
343871	2687840	6860	341337	60290	699
322402	3052841	7265	124897	64164	805
337660	3296110	7715	134750	67406	664
1061731	9479005	57105	262230	249307	9634
1058821	9752575	57116	261848	246805	9873
1110449	10456349	57734	282856	269823	10646
1022575	9490453	55136	284213	233204	10172
984712	9352768	53406	239575	224422	9680
965412	9148512	54386	186873	225278	9737
966298	9387316	54307	189474	225535	9709
461595	2319114	19898	291154	63098	4628
462690	2321410	20116	307316	63239	4666
512408	2570002	20603	337145	83722	5491
465655	2313080	18969	334406	66559	5028
455566	2367753	18035	276050	63533	4909
420945	2408323	18151	143566	65206	5010
418279	2459545	17966	143646	63113	4983
297881	1670500	7575	171461	37705	860
289674	1692000	7305	167725	35241	894
312651	1826283	7625	173546	41825	942
292944	1665625	7615	161517	36661	813
280238	1644037	7461	142020	36123	885
255393	1662512	7056	87239	39593	775
302347	1762635	8799	83243	59326	815
144723	525884	3862	50804	17912	736
145500	555305	3647	50802	18968	711
146765	545989	3639	54095	18502	772
135634	474455	3394	52202	14602	695
124985	414814	3205	42323	12395	770
108942	383398	2902	19752	11250	712
108067	387129	2835	18590	11158	711
239112	1511758	8795	105124	32359	846
243796	1658310	8719	105443	34857	757
228672	1512061	7884	104280	29432	704
219893	1410351	7700	92437	29879	641
203675	1342853	7384	75877	27379	574
185354	1393504	7087	42087	27662	634
194330	1483625	7776	42719	29447	656
144831	201679	1664	108828	15014	358
147247	205166	1637	113741	14826	355
165635	236022	1583	123537	17967	368
155394	222567	1641	109008	18224	326
149134	244908	1717	94249	16354	357
129800	250395	1679	40598	19788	303
132746	260517	1560	38195	22007	255
86590	136680	1002	71475	4160	366
82308	131477	905	68917	3876	301
81089	119917	768	75544	2875	343
70032	101908	766	63635	2609	325
62458	96598	700	52319	2415	337
51458	101369	665	25307	2906	308
56703	116716	892	25396	2932	332
85380	157557	1484	24951	14477	287
83628	154769	1418	30171	12665	298
74685	143497	1179	25919	10946	272
60911	122402	1053	21407	7816	265
55812	116676	1025	17999	6741	300
51631	118819	1027	8209	6977	259
50649	121001	1042	8621	6044	272
31373	25578	971	13410	5800	283
32438	27873	1104	13712	6104	270
34301	27963	994	15620	6443	288
32492	28844	959	14533	5995	248
30476	28541	922	13273	5455	256
23981	26247	869	6522	4112	314
30394	28937	1123	6567	6444	261
119331	362794	1937	44202	13462	406
119695	352354	1825	50298	12418	322
128811	348659	1766	58903	14815	296
116502	306772	1847	49161	11544	292
104372	278887	1529	37686	9320	279
96339	284401	1571	19386	9870	247
96501	287491	1639	18968	9858	234
27047	52412	425	4055	4914	125
31651	64448	500	4941	5597	102
35171	72940	514	5619	6053	141
34512	71436	523	7731	5433	114
48079	100760	642	13392	7367	168
75032	212475	773	4513	8181	1258
51574	123958	781	4367	8143	165
388521	286662	8549	40294	130870	473
517412	324176	17403	49993	170720	531
407446	323302	7596	53108	138529	744
357675	289441	7325	48953	116002	596
352262	291816	7459	42792	114661	587
361981	302153	8323	25890	121943	558
352212	294728	7714	22258	119469	610
105412	171041	800	86132	4659	758
117442	214368	1067	87471	4996	909
102434	160294	1305	86427	3291	741
96613	142356	1235	80863	4067	747
94169	161018	937	66377	5214	862
86158	192538	1026	30039	6956	843
112468	260727	1555	33770	10984	970
111802	70906	411	225192	2683	483
119223	95276	416	235652	3473	721
127421	97434	384	255980	3209	777
125466	93672	414	259107	3206	737
128909	109459	452	217675	3414	838
97987	126641	502	94931	4779	946
109274	148048	594	105745	4865	979
67141	78377	1132	65318	2052	479
62928	59480	1426	65484	1354	491
85440	54399	4121	82407	1835	638
78224	43193	3756	82130	1214	555
62342	38092	3000	60637	1220	539
76577	34669	7818	43111	1423	527
81633	32898	9813	36581	1020	495
19924	27623	179	13946	1508	302
18365	25974	161	12754	1432	240
19207	24402	212	14085	1492	246
18436	27749	188	12555	1223	291
17329	27413	178	11216	1128	280
14560	28340	191	4999	1217	283
15549	34202	209	4525	1147	300
331900	2162816	3926	283024	48058	1065
333180	2315737	4243	290129	47688	1030
340858	2316301	3897	340249	50759	1139
316218	2022345	3481	337135	42901	956
325511	2089209	3722	270064	46408	1009
289814	2039050	3726	136871	46392	1262
328804	2472796	4963	161950	57478	1474
313696	1584729	4428	201906	43074	1579
327162	1576521	4444	190956	51795	1613
317196	1507761	4021	178456	50975	1390
298992	1347360	3850	158397	50501	1244
261743	1240274	3363	142555	38090	1108
237645	1208309	3133	81044	42951	1032
251970	1365128	3441	86167	46138	1243
183080	758852	2092	58876	29358	956
158709	744518	1944	56296	19343	905
189492	850163	2303	67419	28585	1115
184585	801624	2157	61135	29303	1007
150206	763839	2089	52112	15252	1067
158022	738098	2117	24259	26863	1043
140112	746549	1940	21388	18821	1046
57522	67908	2175	26184	7222	188
56158	66989	1934	25042	7623	147
69914	74170	2317	36175	9810	166
71797	73061	2318	40823	9892	176
72254	75094	2320	41659	9749	175
64765	74010	2417	28659	9272	178
62485	76350	2118	26618	9125	158
28017	24854	138	37986	684	56
28677	22076	124	39984	769	69
26464	20826	96	36493	793	51
28071	17053	114	41875	619	52
27084	14736	93	41836	497	45
11749	17064	97	9739	599	58
14256	22877	144	10460	797	63
188400	565992	3547	116906	17298	170
199306	592399	3349	144701	15930	220
180619	527828	3217	118665	13510	178
155186	468823	2998	86383	10597	150
151309	468793	2982	71147	12685	138
138797	521075	3292	37278	13427	232
140529	564385	3184	37016	14143	193
99840	289253	889	32336	8848	213
95183	293368	821	29597	7448	181
110790	303108	907	55155	8414	185
107629	248834	731	50582	9016	129
93727	223715	880	42235	6639	216
59192	172264	759	7664	4398	181
63689	190342	792	6635	4601	212
99286	223442	666	43335	9819	101
92861	196651	615	46834	8696	94
95333	199771	524	52827	7985	107
72273	145961	364	49496	3971	70
73490	164598	420	38100	5414	99
56288	141372	524	17067	4576	151
59763	158664	603	12855	5261	133
46396	81112	176	32092	1330	17
52071	98615	200	33565	1651	25
50308	88504	170	35746	1132	22
45951	77656	158	33113	1225	29
49555	95463	245	29739	1678	28
33415	68921	131	13210	1021	26
34058	69801	124	14178	854	8
33384	40456	365	30740	2515	223
36951	44560	459	34264	2779	217
31835	39452	351	30007	2042	226
32892	37893	382	31143	2405	202
30604	36863	401	26681	2325	196
25273	41915	405	15049	2215	229
26023	40547	450	16070	2240	244
51963	80900	446	44685	3311	34
89651	170255	1284	57414	7002	151
89597	174623	1123	54080	7788	140
62299	115657	654	42729	4806	68
54386	114186	557	31700	4094	73
36230	81890	429	15992	2837	38
48587	118256	761	17774	3795	60
12240	7519	84	17074	430	43
11861	6732	104	15772	596	32
12842	7844	116	16808	660	24
11341	6135	54	16648	362	18
10971	7664	79	14270	543	26
5183	6476	51	3894	473	19
4430	4299	39	3818	378	19
19229	21171	108	19154	813	42
25280	30004	149	24695	1276	42
24422	28073	140	22701	1508	52
21927	26788	133	19809	1290	41
19385	24108	112	17675	900	48
16368	26918	117	9420	1148	57
15215	24517	101	8986	925	39
42901	68663	215	33447	2031	82
62300	88284	315	59936	2280	142
59191	108026	310	39501	3330	214
51798	94256	295	34209	2855	154
37706	61644	148	27270	1937	79
35359	74473	195	13963	2545	124
53115	118886	487	16470	4754	165
35626	47204	654	22201	4600	78
54993	55469	715	56708	4608	136
34223	33430	411	35149	2841	62
29348	25178	337	32015	2328	61
23471	27058	306	21669	1847	65
15291	22999	224	9974	1417	53
18197	25742	333	11157	1898	55
23079	21656	169	26301	871	134
22766	19317	153	26707	919	107
26458	21186	168	31408	1167	162
23680	17738	146	29465	871	131
22935	21765	177	26077	870	159
17190	23165	192	13923	768	177
16129	21863	121	12527	792	161
32341	19224	211	46996	926	56
35516	25954	338	46534	1526	62
32506	20881	235	43712	1570	109
34867	21347	288	47028	1656	137
25601	22214	213	29397	1692	108
18225	27171	231	10873	2040	154
13363	21032	192	6457	1609	73
12871	16697	217	9069	1131	55
14403	16807	235	11652	1112	91
12737	12516	175	11982	899	71
9728	10302	127	9349	581	42
10347	9645	129	9287	992	46
6846	9976	109	2834	906	35
6543	8526	114	2690	885	36
42204	82561	480	17810	5051	88
49278	92900	460	25069	5317	140
69516	138140	760	27958	8460	240
76223	145063	759	32482	9958	222
63508	103669	462	42136	6517	196
56663	119869	576	14378	8216	204
49498	105826	485	14074	6384	151
15557	16255	146	14641	1431	41
16895	18688	139	15666	1608	51
34637	15588	174	52167	1504	73
19453	15656	130	21871	1532	94
14413	15125	139	12041	1645	51
10123	16073	106	5403	1176	55
12680	19332	155	6104	1759	59
3229	806	105	3357	253	69
3689	1869	158	2722	390	64
4354	1395	173	3411	524	75
2946	879	106	2668	275	60
3021	1145	126	2504	262	68
55469	6750	320	1936	25529	84
5380	3006	227	1477	1210	77
81029	388542	607	4544	7417	71
80964	388687	698	5368	6774	91
113337	728857	1499	11813	15460	798
106863	703525	1118	10132	13571	658
106410	703325	1127	7452	14501	387
